id;label;name;position;level;active
1;Corporate;Bedfordshire strategize Frozen;17393;89532;true
2;Handcrafted Metal Pizza;Games neural reboot;22977;9388;false
3;Groves Quetzal;demand-driven interface;76055;53466;true
4;e-services migration Wisconsin;Branding;37568;28746;false
5;Consultant definition Ergonomic;supply-chains;16517;85882;true
6;Tuna payment;THX;91994;97293;false
7;Antarctica (the territory South of 60 deg S) metrics embrace;PCI;67773;14408;true
8;Polarised Mobility ivory;Toys Refined Officer;99636;77167;false
9;Legacy Investment Account Computers;Consultant;6164;67510;true
10;Salad programming Investor;Sleek communities;32496;87536;false
